RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,linha_resumo,etapa,bnx_mais_importante,simulacao_escolhida,pasta_saida,arquivo_origem,bnx_train,euclidiana,euclidiana_treinamento,euclidiana_teste,param_EMFL,param_FLSH,param_FLSD,param_SDPM,param_FLLF,param_LFMAX,param_SLAVR,param_SIZLF,param_WTPSD,param_SFDUR,param_SDPDV,param_PODUR,param_THRSH
1,EMEP1403BN,1,1,BN,46,35,51,42,61,56,87,72,1786,1605,2978,2313,1349,1090,0.1324,0.15,4.48,5.49,4461,3202,2680,-99,5.06,4.18,0.400,0.50,59.96,70.4,63,-99,113,-99,19,-99,3.55,-99,1853,1409,61,-99,13.97,-99,2.82,-99,1.25,-99,96,-99,4,-99,-99,bestcfg_0001_GLUE_EMEP1403_PREV1_2_3,1,GLUE,EMEP1403_PREV1_2_3.BNX,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_2_3,melhor_configuracao_treinamento.csv,,4.018721939679792,,,34.8,4.0,11.67,20.17,18.0,0.95,343.6,135.3,0.283,21.95,4.478,15.92,78.0
2,EMEP1403BN,2,1,BN,47,42,53,48,64,62,89,82,2197,1997,3398,2923,1398,1258,0.1571,0.17,4.48,5.52,4878,3204,2680,-99,4.94,6.26,0.450,0.62,64.64,72.7,79,-99,124,-99,16,-99,3.59,-99,1615,1349,54,-99,13.66,-99,3.02,-99,1.22,-99,98,-99,4,-99,-99,bestcfg_0001_GLUE_EMEP1403_PREV1_2_3,1,GLUE,EMEP1403_PREV1_2_3.BNX,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_2_3,melhor_configuracao_treinamento.csv,,4.018721939679792,,,34.8,4.0,11.67,20.17,18.0,0.95,343.6,135.3,0.283,21.95,4.478,15.92,78.0
3,EMEP1403BN,3,1,BN,50,49,55,55,65,68,89,90,2753,2803,3996,3069,1554,1501,0.1771,0.19,4.48,4.52,5386,4319,2630,-99,4.21,6.34,0.511,0.65,68.89,74.4,97,-99,134,-99,13,-99,3.53,-99,1538,1224,51,-99,13.52,-99,3.33,-99,1.09,-99,98,-99,4,-99,-99,bestcfg_0001_GLUE_EMEP1403_PREV1_2_3,1,GLUE,EMEP1403_PREV1_2_3.BNX,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_2_3,melhor_configuracao_treinamento.csv,,4.018721939679792,,,34.8,4.0,11.67,20.17,18.0,0.95,343.6,135.3,0.283,21.95,4.478,15.92,78.0
1,EMEP1403BN,1,1,BN,46,35,49,42,54,56,73,72,2269,1605,2960,2313,1529,1090,0.1484,0.15,5.00,5.49,4375,3202,2110,-99,5.29,4.18,0.519,0.50,76.66,70.4,78,-99,108,-99,14,-99,3.44,-99,1889,1409,62,-99,13.64,-99,3.20,-99,1.21,-99,82,-99,4,-99,-99,bestcfg_0002_pos_treinamento_EMEP1403_PREV1_2_3,2,pos_treinamento,EMEP1403_PREV1_2_3.BNX,IP200_IT300_ucb_exp,EMEP1403_PREV1_2_3,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_2_3.BNX,,5.195891639606361,0.6339675786922885,35.0,2.0,6.0,14.0,34.0,1.0,350.0,137.3614211743212,0.22,11.0,5.0,4.0,78.0
2,EMEP1403BN,2,1,BN,48,42,50,48,56,62,76,82,1661,1997,2092,2923,956,1258,0.1738,0.17,5.00,5.52,4045,3204,2380,-99,5.08,6.26,0.411,0.62,79.41,72.7,58,-99,91,-99,21,-99,3.51,-99,1720,1349,55,-99,13.41,-99,2.99,-99,1.17,-99,85,-99,4,-99,-99,bestcfg_0002_pos_treinamento_EMEP1403_PREV1_2_3,2,pos_treinamento,EMEP1403_PREV1_2_3.BNX,IP200_IT300_ucb_exp,EMEP1403_PREV1_2_3,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_2_3.BNX,,5.195891639606361,0.6339675786922885,35.0,2.0,6.0,14.0,34.0,1.0,350.0,137.3614211743212,0.22,11.0,5.0,4.0,78.0
3,EMEP1403BN,3,1,BN,50,49,53,55,58,68,76,90,2293,2803,2935,3069,1501,1501,0.1527,0.19,5.00,4.52,4131,4319,1840,-99,4.39,6.34,0.555,0.65,78.13,74.4,80,-99,104,-99,10,-99,3.48,-99,1538,1224,51,-99,13.16,-99,3.32,-99,1.04,-99,85,-99,4,-99,-99,bestcfg_0002_pos_treinamento_EMEP1403_PREV1_2_3,2,pos_treinamento,EMEP1403_PREV1_2_3.BNX,IP200_IT300_ucb_exp,EMEP1403_PREV1_2_3,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_2_3.BNX,,5.195891639606361,0.6339675786922885,35.0,2.0,6.0,14.0,34.0,1.0,350.0,137.3614211743212,0.22,11.0,5.0,4.0,78.0
1,EMEP1403BN,1,1,BN,46,35,51,42,62,56,88,72,2223,1605,3301,2313,1727,1090,0.1287,0.15,4.57,5.49,4379,3202,2160,-99,4.71,4.18,0.508,0.50,67.34,70.4,79,-99,115,-99,13,-99,3.53,-99,1844,1409,61,-99,13.92,-99,2.85,-99,1.22,-99,97,-99,4,-99,-99,bestcfg_0003_GLUE_EMEP1403_PREV1_2_4,3,GLUE,EMEP1403_PREV1_2_4.BNX,IP100_IT300_ucb_matern5_2,EMEP1403_PREV1_2_4,melhor_configuracao_treinamento.csv,,4.176321795248244,,,34.74,4.0,12.88,20.5,18.0,0.95,324.0,138.7,0.252,20.58,4.569,5.072,78.0
2,EMEP1403BN,2,1,BN,47,42,53,48,65,62,90,82,2567,1997,3586,2923,1541,1258,0.1665,0.17,4.57,5.52,4598,3204,2030,-99,4.47,6.26,0.558,0.62,71.57,72.7,90,-99,121,-99,10,-99,3.52,-99,1595,1349,53,-99,13.63,-99,3.13,-99,1.18,-99,99,-99,4,-99,-99,bestcfg_0003_GLUE_EMEP1403_PREV1_2_4,3,GLUE,EMEP1403_PREV1_2_4.BNX,IP100_IT300_ucb_matern5_2,EMEP1403_PREV1_2_4,melhor_configuracao_treinamento.csv,,4.176321795248244,,,34.74,4.0,12.88,20.5,18.0,0.95,324.0,138.7,0.252,20.58,4.569,5.072,78.0
3,EMEP1403BN,4,1,BN,50,50,55,54,65,64,89,82,3344,4004,4496,3178,1881,1062,0.1777,0.23,4.57,5.31,5738,5302,2390,-99,4.22,4.92,0.583,-99,74.37,78.2,121,-99,151,-99,10,-99,3.63,-99,1759,2161,61,-99,13.71,-99,3.24,-99,1.09,-99,98,-99,4,-99,-99,bestcfg_0003_GLUE_EMEP1403_PREV1_2_4,3,GLUE,EMEP1403_PREV1_2_4.BNX,IP100_IT300_ucb_matern5_2,EMEP1403_PREV1_2_4,melhor_configuracao_treinamento.csv,,4.176321795248244,,,34.74,4.0,12.88,20.5,18.0,0.95,324.0,138.7,0.252,20.58,4.569,5.072,78.0
1,EMEP1403BN,1,1,BN,37,35,40,42,44,56,74,72,1637,1605,2078,2313,930,1090,0.1759,0.15,5.00,5.49,3609,3202,1970,-99,3.74,4.18,0.453,0.50,78.76,70.4,58,-99,84,-99,16,-99,3.53,-99,928,1409,31,-99,11.25,-99,3.07,-99,0.86,-99,83,-99,4,-99,-99,bestcfg_0004_pos_treinamento_EMEP1403_PREV1_2_4,4,pos_treinamento,EMEP1403_PREV1_2_4.BNX,IP200_IT300_ucb_exp,EMEP1403_PREV1_2_4,melhor_configuracao_pos_treinamento.csv,EMEP1403_PREV1_2_4.BNX,,4.331655954635348,0.7663749292594121,27.665130252302944,2.0,6.0,22.356848525205024,34.0,0.98,342.0834564394904,133.0,0.22,11.0,5.0,4.0,78.0
