RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,linha_resumo,etapa,bnx_mais_importante,simulacao_escolhida,pasta_saida,arquivo_origem,bnx_train,euclidiana,euclidiana_treinamento,euclidiana_teste,param_EMFL,param_FLSD,param_SDPM
1,EMEP1403BN,3,1,BN,50,49,55,55,67,68,87,90,2663,2803,3818,3069,2195,1501,0.1214,0.19,4.64,4.52,4908,4319,2240,-99,3.32,6.34,0.543,0.65,69.75,74.4,95,-99,127,-99,10,-99,3.56,-99,1511,1224,51,-99,13.47,-99,3.24,-99,1.06,-99,96,-99,4,-99,-99,bestcfg_0001_treinamento_EMEP1403_EXPL1_2,1,treinamento,EMEP1403_EXPL1_2.BNX,IP200_IT300_poi_matern3_2,EMEP1403_EXPL1_2,melhor_configuracao_treinamento.csv,,7.761471775678537,,,34.90012105368605,12.9850876637352,16.774047101688993
2,EMEP1403BN,4,1,BN,50,50,55,54,66,64,85,82,2719,4004,4088,3178,2374,1062,0.1145,0.23,4.64,5.31,5411,5302,2690,-99,3.56,4.92,0.503,-99,66.52,78.2,98,-99,137,-99,13,-99,3.60,-99,1709,2161,60,-99,13.72,-99,3.30,-99,1.09,-99,94,-99,4,-99,-99,bestcfg_0001_treinamento_EMEP1403_EXPL1_2,1,treinamento,EMEP1403_EXPL1_2.BNX,IP200_IT300_poi_matern3_2,EMEP1403_EXPL1_2,melhor_configuracao_treinamento.csv,,7.761471775678537,,,34.90012105368605,12.9850876637352,16.774047101688993
3,EMEP1403BN,5,1,BN,45,51,50,54,61,68,82,90,3035,3993,4302,5140,2228,1964,0.1362,0.19,4.64,4.96,5830,5002,2800,-99,4.33,5.67,0.521,-99,70.54,77.6,106,-99,144,-99,14,-99,3.50,-99,2013,2306,66,-99,14.43,-99,3.29,-99,1.31,-99,91,-99,4,-99,-99,bestcfg_0001_treinamento_EMEP1403_EXPL1_2,1,treinamento,EMEP1403_EXPL1_2.BNX,IP200_IT300_poi_matern3_2,EMEP1403_EXPL1_2,melhor_configuracao_treinamento.csv,,7.761471775678537,,,34.90012105368605,12.9850876637352,16.774047101688993
4,EMEP1403BN,6,1,BN,46,55,51,67,62,74,82,91,2925,4340,4299,5358,2418,3157,0.1209,0.19,4.64,4.95,5915,4261,2990,-99,4.37,5.00,0.494,-99,68.03,74.9,103,-99,145,-99,15,-99,3.52,-99,2030,1849,66,-99,14.51,-99,3.35,-99,1.29,-99,91,-99,4,-99,-99,bestcfg_0001_treinamento_EMEP1403_EXPL1_2,1,treinamento,EMEP1403_EXPL1_2.BNX,IP200_IT300_poi_matern3_2,EMEP1403_EXPL1_2,melhor_configuracao_treinamento.csv,,7.761471775678537,,,34.90012105368605,12.9850876637352,16.774047101688993
5,EMEP1403BN,8,1,BN,44,41,49,51,60,57,84,84,2715,2630,3940,-99,2006,1215,0.1354,0.21,4.64,4.94,5179,3092,2460,-99,3.89,6.14,0.524,-99,68.92,72.3,94,-99,130,-99,12,-99,3.46,-99,1688,2069,56,-99,14.00,-99,2.92,-99,1.31,-99,93,-99,4,-99,-99,bestcfg_0001_treinamento_EMEP1403_EXPL1_2,1,treinamento,EMEP1403_EXPL1_2.BNX,IP200_IT300_poi_matern3_2,EMEP1403_EXPL1_2,melhor_configuracao_treinamento.csv,,7.761471775678537,,,34.90012105368605,12.9850876637352,16.774047101688993
6,EMEP1403BN,9,1,BN,46,47,51,56,64,65,88,86,2853,2080,4027,3807,1892,1151,0.1508,0.17,4.64,4.63,5324,3027,2470,-99,3.72,4.59,0.536,0.69,70.84,71.8,98,-99,133,-99,13,-99,3.43,-99,1761,2002,60,-99,13.98,-99,3.19,-99,1.14,-99,97,-99,4,-99,-99,bestcfg_0001_treinamento_EMEP1403_EXPL1_2,1,treinamento,EMEP1403_EXPL1_2.BNX,IP200_IT300_poi_matern3_2,EMEP1403_EXPL1_2,melhor_configuracao_treinamento.csv,,7.761471775678537,,,34.90012105368605,12.9850876637352,16.774047101688993
1,EMEP1403BN,2,1,BN,48,42,53,48,63,62,85,82,2414,1997,3460,2923,1730,1258,0.1395,0.17,4.64,5.52,4688,3204,2270,-99,3.90,6.26,0.515,0.62,69.76,72.7,83,-99,117,-99,12,-99,3.45,-99,1688,1349,54,-99,13.60,-99,3.29,-99,1.15,-99,94,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
2,EMEP1403BN,4,1,BN,50,50,55,54,64,64,83,82,2766,4004,3899,3178,1990,1062,0.1390,0.23,4.64,5.31,5262,5302,2500,-99,3.57,4.92,0.526,-99,70.94,78.2,99,-99,133,-99,12,-99,3.58,-99,1709,2161,60,-99,13.72,-99,3.33,-99,1.09,-99,92,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
3,EMEP1403BN,5,1,BN,45,51,50,54,59,68,80,90,3035,3993,4077,5140,1879,1964,0.1615,0.19,4.64,4.96,5627,5002,2590,-99,4.34,5.67,0.539,-99,74.43,77.6,106,-99,140,-99,14,-99,3.48,-99,2013,2306,66,-99,14.70,-99,3.33,-99,1.36,-99,89,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
4,EMEP1403BN,6,1,BN,46,55,51,67,60,74,80,91,2929,4340,4067,5358,2029,3157,0.1444,0.19,4.64,4.95,5700,4261,2770,-99,4.38,5.00,0.514,-99,72.02,74.9,103,-99,141,-99,16,-99,3.52,-99,2030,1849,66,-99,14.51,-99,3.33,-99,1.29,-99,89,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
5,EMEP1403BN,8,1,BN,44,41,49,51,58,57,82,84,2832,2630,3826,-99,1641,1215,0.1726,0.21,4.64,4.94,5077,3092,2240,-99,3.90,6.14,0.558,-99,74.03,72.3,98,-99,129,-99,12,-99,3.46,-99,1688,2069,56,-99,14.26,-99,2.92,-99,1.34,-99,91,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
6,EMEP1403BN,9,1,BN,46,47,52,56,62,65,86,86,2859,2080,3864,3807,1678,1151,0.1703,0.17,4.64,4.63,5215,3027,2360,-99,3.74,4.59,0.548,0.69,73.99,71.8,97,-99,129,-99,13,-99,3.41,-99,1761,2002,60,-99,13.98,-99,3.19,-99,1.14,-99,95,-99,4,-99,-99,bestcfg_0002_treinamento_EMEP1403_EXPL1_3,2,treinamento,EMEP1403_EXPL1_3.BNX,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3,melhor_configuracao_treinamento.csv,,7.473174742367118,,,34.971636927622406,11.247180669253638,16.81378040506532
1,EMEP1403BN,2,1,BN,48,42,53,48,66,62,87,82,2210,1997,3459,2923,2012,1258,0.1098,0.17,4.64,5.52,4657,3204,2450,-99,3.90,6.26,0.474,0.62,63.88,72.7,78,-99,119,-99,13,-99,3.53,-99,1688,1349,54,-99,13.60,-99,3.14,-99,1.15,-99,96,-99,4,-99,-99,bestcfg_0003_treinamento_EMEP1403_EXPL1_4,3,treinamento,EMEP1403_EXPL1_4.BNX,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4,melhor_configuracao_treinamento.csv,,7.620217703532404,,,35.0,13.0,16.816285217761273
