pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSD,SDPM,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_PREV1_2,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_2.BNX,,34.90012105368605,12.9850876637352,16.774047101688993,EMEP1403_PREV1_2.BNX,7.761471775678537,1.06426857210878
EMEP1403_PREV1_3,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_poi_exp,EMEP1403_PREV1_3.BNX,,34.98072022898836,10.473626931390996,19.17148801480232,EMEP1403_PREV1_3.BNX,7.595988232352117,0.7436766283483823
EMEP1403_PREV1_4,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_poi_matern3_2,EMEP1403_PREV1_4.BNX,,34.820894616873574,12.926434230612262,20.168294976099723,EMEP1403_PREV1_4.BNX,7.875949805935709,1.4711243687220648
EMEP1403_PREV1_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV1_5.BNX,,34.78244437175191,11.750233710975351,18.173193716640085,EMEP1403_PREV1_5.BNX,7.610917156199503,1.044257218234115
EMEP1403_PREV1_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_gauss,EMEP1403_PREV1_6.BNX,,34.82001473452145,10.970854630570004,18.831894380309173,EMEP1403_PREV1_6.BNX,7.4867578402087425,1.0594981988563668
EMEP1403_PREV1_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_matern5_2,EMEP1403_PREV1_8.BNX,,35.0,13.0,16.070432088036863,EMEP1403_PREV1_8.BNX,1.113632300904901,20.67732511494228
EMEP1403_PREV1_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV1_9.BNX,,34.9394031513956,11.482397053300474,18.27233539985873,EMEP1403_PREV1_9.BNX,7.692846975750585,0.8473293096097269
EMEP1403_PREV2_3,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ei_matern5_2,EMEP1403_PREV2_3.BNX,,34.994545487448704,11.065137135244804,18.73390493475692,EMEP1403_PREV2_3.BNX,7.645342733595549,0.6383280742875834
EMEP1403_PREV2_4,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_exp,EMEP1403_PREV2_4.BNX,,34.83465233839452,12.978903467972888,17.46251799095883,EMEP1403_PREV2_4.BNX,7.760142341198339,1.3115878824747909
EMEP1403_PREV2_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_poi_exp,EMEP1403_PREV2_5.BNX,,34.93469652301058,11.425588372351232,18.38834531577533,EMEP1403_PREV2_5.BNX,7.661044584711355,0.9013426304443286
EMEP1403_PREV2_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ucb_exp,EMEP1403_PREV2_6.BNX,,35.0,11.617633031033826,18.07103465865244,EMEP1403_PREV2_6.BNX,7.652965090025336,0.9553779112500906
EMEP1403_PREV2_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_poi_matern5_2,EMEP1403_PREV2_8.BNX,,34.94870602307677,12.956261144863648,15.103059033762053,EMEP1403_PREV2_8.BNX,1.1858599071707427,20.24106059850443
EMEP1403_PREV2_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_exp,EMEP1403_PREV2_9.BNX,,34.94915232260325,11.444302132784443,18.11122981127594,EMEP1403_PREV2_9.BNX,7.728638054156076,0.7122321722209288
EMEP1403_PREV3_4,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_exp,EMEP1403_PREV3_4.BNX,,34.99218117319748,10.360586090956634,18.8444982258345,EMEP1403_PREV3_4.BNX,7.508402403094807,0.9815988854762226
EMEP1403_PREV3_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ucb_matern3_2,EMEP1403_PREV3_5.BNX,,34.10102518041987,11.224192609064945,17.447192495945842,EMEP1403_PREV3_5.BNX,7.468166635084624,0.8588830547859427
EMEP1403_PREV3_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_poi_matern5_2,EMEP1403_PREV3_6.BNX,,34.9893011825005,10.435194181570496,17.4801803623611,EMEP1403_PREV3_6.BNX,7.343714409079177,0.8940522092232784
EMEP1403_PREV3_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_poi_matern5_2,EMEP1403_PREV3_8.BNX,,35.0,11.946262715230446,14.0,EMEP1403_PREV3_8.BNX,1.0999400166167237,18.924572909344736
EMEP1403_PREV3_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_matern3_2,EMEP1403_PREV3_9.BNX,,34.105772391325566,11.29586416307313,17.641119004502745,EMEP1403_PREV3_9.BNX,7.586051121261985,0.6352848950271159
EMEP1403_PREV4_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_poi_matern5_2,EMEP1403_PREV4_5.BNX,,33.98669657853294,11.279619518410785,19.0449517231878,EMEP1403_PREV4_5.BNX,7.562220261998903,1.2727672736620703
EMEP1403_PREV4_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ucb_matern3_2,EMEP1403_PREV4_6.BNX,,34.23193101926788,11.147199065054345,19.37806048401534,EMEP1403_PREV4_6.BNX,7.431682261664353,1.3139776439326258
EMEP1403_PREV4_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ucb_exp,EMEP1403_PREV4_8.BNX,,34.75695991513852,13.0,15.296270863581794,EMEP1403_PREV4_8.BNX,1.032022252867122,20.66103811850907
EMEP1403_PREV4_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_matern5_2,EMEP1403_PREV4_9.BNX,,34.21944656644923,11.215623260139717,19.30516801635337,EMEP1403_PREV4_9.BNX,7.584488959676906,1.0829737079690955
EMEP1403_PREV5_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT100_ei_gauss,EMEP1403_PREV5_6.BNX,,34.53841823578962,10.902461656251129,17.536025457306256,EMEP1403_PREV5_6.BNX,7.299738403820963,1.1824182070775382
EMEP1403_PREV5_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_poi_matern5_2,EMEP1403_PREV5_8.BNX,,34.42481841547727,12.465333687428933,14.061992104979357,EMEP1403_PREV5_8.BNX,1.0566631698144338,19.425188088320983
EMEP1403_PREV5_9,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_exp,EMEP1403_PREV5_9.BNX,,34.21002356508734,11.056268305690333,16.671558695057694,EMEP1403_PREV5_9.BNX,7.3038620730907935,0.8991449792768034
