pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSD,SDPM,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_EXPL1_2,treinamento,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_EXPL1_2.BNX,7.761471775678537,34.90012105368605,12.9850876637352,16.774047101688993,,,
EMEP1403_EXPL1_3,treinamento,melhor_configuracao_treinamento.csv,IP100_IT300_poi_matern3_2,EMEP1403_EXPL1_3.BNX,7.473174742367118,34.971636927622406,11.247180669253638,16.81378040506532,,,
EMEP1403_EXPL1_4,treinamento,melhor_configuracao_treinamento.csv,IP100_IT100_ucb_gauss,EMEP1403_EXPL1_4.BNX,7.620217703532404,35.0,13.0,16.816285217761273,,,
EMEP1403_EXPL1_5,treinamento,melhor_configuracao_treinamento.csv,IP100_IT300_ei_exp,EMEP1403_EXPL1_5.BNX,7.477384351209912,34.353942617960065,11.77246621169537,16.482535083429912,,,
EMEP1403_EXPL1_6,treinamento,melhor_configuracao_treinamento.csv,IP100_IT100_ei_exp,EMEP1403_EXPL1_6.BNX,7.368785638211353,34.96627299801945,11.20185443090575,16.588803592614838,,,
EMEP1403_EXPL1_8,treinamento,melhor_configuracao_treinamento.csv,IP100_IT300_ei_matern3_2,EMEP1403_EXPL1_8.BNX,1.0109172747255366,34.80537807723316,12.126259204879505,20.6586336982889,,,
EMEP1403_EXPL1_9,treinamento,melhor_configuracao_treinamento.csv,IP100_IT100_poi_matern5_2,EMEP1403_EXPL1_9.BNX,7.624877196096635,34.800725578128336,12.789837302934094,16.388676174929117,,,
EMEP1403_EXPL2_3,treinamento,melhor_configuracao_treinamento.csv,IP100_IT300_ei_gauss,EMEP1403_EXPL2_3.BNX,7.542875352844713,34.977725467787465,11.2536092234905,16.685644852343017,,,
EMEP1403_EXPL2_4,treinamento,melhor_configuracao_treinamento.csv,IP100_IT300_ei_matern5_2,EMEP1403_EXPL2_4.BNX,7.673521320125757,34.91072877657224,12.95008342193267,16.761753030885473,,,
EMEP1403_EXPL2_5,treinamento,melhor_configuracao_treinamento.csv,IP100_IT300_ucb_gauss,EMEP1403_EXPL2_5.BNX,7.468624334078229,34.45648852546647,12.072062230430433,15.47098354855446,,,
