pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSH,FLSD,SDPM,FLLF,LFMAX,SLAVR,SIZLF,WTPSD,SFDUR,SDPDV,PODUR,THRSH,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_PREV1_2_3,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_matern3_2,EMEP1403_PREV1_2_3.BNX,4.018721939679792,34.80,4.000,11.67,20.17,18.00,0.950,343.6,135.3,0.283,21.95,4.478,15.92,78.00,,,
EMEP1403_PREV1_2_3,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_exp,EMEP1403_PREV1_2_3.BNX,,35.0,2.0,6.0,14.0,34.0,1.0,350.0,137.3614211743212,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_2_3.BNX,5.195891639606361,0.6339675786922885
EMEP1403_PREV1_2_4,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_ucb_matern5_2,EMEP1403_PREV1_2_4.BNX,4.176321795248244,34.74,4.000,12.88,20.50,18.00,0.950,324.0,138.7,0.252,20.58,4.569,5.072,78.00,,,
EMEP1403_PREV1_2_4,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_exp,EMEP1403_PREV1_2_4.BNX,,27.665130252302944,2.0,6.0,22.356848525205024,34.0,0.98,342.0834564394904,133.0,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_2_4.BNX,4.331655954635348,0.7663749292594121
EMEP1403_PREV1_2_5,GLUE,melhor_configuracao_treinamento.csv,IP100_IT300_ei_exp,EMEP1403_PREV1_2_5.BNX,3.832251554678804,34.48,4.000,9.991,21.04,18.00,0.950,344.5,137.7,0.231,19.88,3.572,15.71,78.00,,,
EMEP1403_PREV1_2_5,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV1_2_5.BNX,,32.12437163017368,2.0,6.0,14.0,34.0,0.98,312.07351348489,133.0,0.22,11.0,5.0,4.0,78.0,EMEP1403_PREV1_2_5.BNX,4.797310418423079,0.8165342148018698
EMEP1403_PREV1_2_6,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_poi_gauss,EMEP1403_PREV1_2_6.BNX,3.9273322189670217,34.73,4.000,12.56,18.91,18.00,0.950,325.3,133.1,0.266,17.10,4.269,14.49,78.00,,,
EMEP1403_PREV1_2_6,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP100_IT300_ei_gauss,EMEP1403_PREV1_2_6.BNX,,26.92900862055717,3.635003513959589,7.684984111426222,14.0,29.13656380778253,1.0,314.21218388987165,138.43144699500183,0.22,17.84959240453069,5.0,11.419752198741088,78.0,EMEP1403_PREV1_2_6.BNX,5.549823660017752,0.85320887938449
EMEP1403_PREV1_2_8,GLUE,melhor_configuracao_treinamento.csv,IP200_IT300_ucb_gauss,EMEP1403_PREV1_2_8.BNX,0.8985627552146577,34.81,4.000,10.81,21.76,18.00,0.950,328.5,134.9,0.222,20.72,4.673,9.109,78.00,,,
EMEP1403_PREV1_2_8,pos_treinamento,melhor_configuracao_pos_treinamento.csv,IP200_IT300_ucb_matern5_2,EMEP1403_PREV1_2_8.BNX,,35.0,5.0,13.0,14.0,10.0,0.98,340.34473830221003,154.47589709266984,0.22,11.0,5.0,12.360538373392842,78.0,EMEP1403_PREV1_2_8.BNX,0.9108784845647474,12.388527500801535
