RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,simulacao
1,EMEP1403BN,1,1,BN,46,35,52,42,56,56,88,72,2685,1605,3495,2313,1302,1090,0.2063,0.15,5.00,5.49,4937,3202,2250,-99,5.57,4.18,0.544,0.50,76.83,70.4,95,-99,130,-99,16,-99,3.56,-99,1962,1409,64,-99,13.91,-99,2.86,-99,1.26,-99,97,-99,4,-99,-99,teste_IP100_IT100_ei_exp_teste,IP100_IT100_ei_exp
2,EMEP1403BN,2,1,BN,48,42,55,48,58,62,91,82,2985,1997,3842,2923,1365,1258,0.2187,0.17,5.00,5.52,5374,3204,2390,-99,5.36,6.26,0.556,0.62,77.71,72.7,107,-99,141,-99,16,-99,3.58,-99,1787,1349,57,-99,13.57,-99,3.00,-99,1.22,-99,100,-99,4,-99,-99,teste_IP100_IT100_ei_exp_teste,IP100_IT100_ei_exp
3,EMEP1403BN,8,1,BN,44,41,50,51,53,57,87,84,2988,2630,3776,-99,1263,1215,0.2366,0.21,5.00,4.94,5598,3092,2610,-99,5.36,6.14,0.534,-99,79.12,72.3,105,-99,138,-99,18,-99,3.50,-99,1818,2069,60,-99,14.27,-99,2.86,-99,1.41,-99,96,-99,4,-99,-99,teste_IP100_IT100_ei_exp_teste,IP100_IT100_ei_exp
1,EMEP1403BN,1,1,BN,46,35,49,42,59,56,88,72,2083,1605,3104,2313,1505,1090,0.1384,0.15,5.00,5.49,4662,3202,2580,-99,5.35,4.18,0.447,0.50,67.09,70.4,74,-99,118,-99,20,-99,3.54,-99,1896,1409,62,-99,13.89,-99,2.83,-99,1.24,-99,97,-99,4,-99,-99,teste_IP100_IT100_ei_gauss_teste,IP100_IT100_ei_gauss
2,EMEP1403BN,2,1,BN,48,42,50,48,62,62,91,82,2461,1997,3464,2923,1512,1258,0.1628,0.17,5.00,5.52,5108,3204,2650,-99,5.14,6.26,0.482,0.62,71.06,72.7,89,-99,130,-99,18,-99,3.60,-99,1724,1349,55,-99,13.58,-99,3.01,-99,1.21,-99,100,-99,4,-99,-99,teste_IP100_IT100_ei_gauss_teste,IP100_IT100_ei_gauss
3,EMEP1403BN,8,1,BN,44,41,47,51,57,57,89,84,3142,2630,4136,-99,1474,1215,0.2132,0.21,5.00,4.94,5732,3092,2590,-99,5.20,6.14,0.548,-99,75.98,72.3,106,-99,142,-99,16,-99,3.38,-99,1759,2069,58,-99,14.03,-99,3.08,-99,1.36,-99,98,-99,4,-99,-99,teste_IP100_IT100_ei_gauss_teste,IP100_IT100_ei_gauss
1,EMEP1403BN,1,1,BN,46,35,49,42,60,56,87,72,1986,1605,3011,2313,1521,1090,0.1306,0.15,5.00,5.49,4725,3202,2740,-99,5.58,4.18,0.420,0.50,65.94,70.4,71,-99,118,-99,22,-99,3.56,-99,1943,1409,64,-99,13.91,-99,2.79,-99,1.26,-99,96,-99,4,-99,-99,teste_IP100_IT100_ei_matern3_2_teste,IP100_IT100_ei_matern3_2
2,EMEP1403BN,2,1,BN,48,42,50,48,63,62,90,82,2364,1997,3432,2923,1587,1258,0.1490,0.17,5.00,5.52,5223,3204,2860,-99,5.35,6.26,0.453,0.62,68.88,72.7,85,-99,132,-99,20,-99,3.60,-99,1771,1349,57,-99,13.59,-99,2.99,-99,1.22,-99,99,-99,4,-99,-99,teste_IP100_IT100_ei_matern3_2_teste,IP100_IT100_ei_matern3_2
3,EMEP1403BN,8,1,BN,44,41,47,51,58,57,87,84,3043,2630,4047,-99,1493,1215,0.2038,0.21,5.00,4.94,5785,3092,2740,-99,5.36,6.14,0.526,-99,75.19,72.3,103,-99,141,-99,17,-99,3.39,-99,1792,2069,59,-99,14.29,-99,3.04,-99,1.41,-99,96,-99,4,-99,-99,teste_IP100_IT100_ei_matern3_2_teste,IP100_IT100_ei_matern3_2
1,EMEP1403BN,1,1,BN,46,35,49,42,56,56,90,72,2794,1605,3611,2313,1298,1090,0.2153,0.15,5.00,5.49,4866,3202,2070,-99,5.21,4.18,0.574,0.50,77.37,70.4,99,-99,129,-99,14,-99,3.54,-99,1918,1409,63,-99,13.89,-99,2.89,-99,1.24,-99,99,-99,4,-99,-99,teste_IP100_IT100_ei_matern5_2_teste,IP100_IT100_ei_matern5_2
