*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 102     0   0.000    0.00       0    0.00
 2015 103     1   0.000    0.00       0    0.00
 2015 104     2   0.000    0.00       0    0.00
 2015 105     3   0.000    0.00       0    0.00
 2015 106     4   0.000    0.00       0    0.00
 2015 107     5   0.000    0.00       0    0.00
 2015 108     6   0.000    0.00       0    0.00
 2015 109     7   0.000    0.00       0    0.00
 2015 110     8   0.000    0.00       0    0.00
 2015 111     9   0.000    0.00       0    0.00
 2015 112    10   0.000    0.00       1    0.00
 2015 113    11   0.000    0.00       1    0.00
 2015 114    12   0.000    0.00       1    0.00
 2015 115    13   0.000    0.00       1    0.00
 2015 116    14   0.001    0.00       2    0.00
 2015 117    15   0.001    0.00       2    0.00
 2015 118    16   0.001    0.00       3    0.00
 2015 119    17   0.001    0.00       4    0.00
 2015 120    18   0.001    0.00       5    0.00
 2015 121    19   0.001    0.00       5    0.00
 2015 122    20   0.002    0.00       6    0.00
 2015 123    21   0.002    0.00       6    0.00
 2015 124    22   0.002    0.00       6    0.00
 2015 125    23   0.002    0.00       7    0.00
 2015 126    24   0.003    0.00       9    0.00
 2015 127    25   0.003    0.00      11    0.00
 2015 128    26   0.004    0.00      13    0.00
 2015 129    27   0.005    0.00      15    0.00
 2015 130    28   0.005    0.00      15    0.00
 2015 131    29   0.005    0.00      15    0.01
 2015 132    30   0.011    0.00      33    0.01
 2015 133    31   0.014    0.00      43    0.01
 2015 134    32   0.018    0.00      56    0.01
 2015 135    33   0.027    0.00      85    0.02
 2015 136    34   0.028    0.00      89    0.02
 2015 137    35   0.033    0.00     106    0.02
 2015 138    36   0.039    0.00     123    0.02
 2015 139    37   0.048    0.00     153    0.05
 2015 140    38   0.059    0.00     189    0.06
 2015 141    39   0.060    0.00     192    0.06
 2015 142    40   0.062    0.00     201    0.06
 2015 143    41   0.068    0.00     219    0.06
 2015 144    42   0.069    0.00     222    0.06
 2015 145    43   0.072    0.00     233    0.05
 2015 146    44   0.076    0.00     246    0.05
 2015 147    45   0.081    0.01     265    0.05
 2015 148    46   0.084    0.01     275    0.05
 2015 149    47   0.085    0.01     277    0.05
 2015 150    48   0.087    0.01     285    0.05
 2015 151    49   0.090    0.01     294    0.05
 2015 152    50   0.093    0.01     304    0.04
 2015 153    51   0.096    0.01     315    0.04
 2015 154    52   0.099    0.01     327    0.04
 2015 155    53   0.103    0.01     339    0.04
 2015 156    54   0.107    0.01     353    0.04
 2015 157    55   0.115    0.01     380    0.04
 2015 158    56   0.118    0.01     392    0.04
 2015 159    57   0.121    0.01     403    0.04
 2015 160    58   0.124    0.01     414    0.04
 2015 161    59   0.127    0.01     424    0.03
 2015 162    60   0.130    0.01     434    0.03
 2015 163    61   0.133    0.01     445    0.03
 2015 164    62   0.136    0.01     455    0.03
 2015 165    63   0.138    0.02     465    0.03
 2015 166    64   0.141    0.02     474    0.03
 2015 167    65   0.144    0.02     484    0.02
 2015 168    66   0.181    0.03     624    0.02
 2015 169    67   0.208    0.04     729    0.05
 2015 170    68   0.227    0.05     805    0.06
 2015 171    69   0.241    0.05     862    0.06
 2015 172    70   0.251    0.06     903    0.06
 2015 173    71   0.258    0.06     934    0.05
 2015 174    72   0.264    0.06     956    0.05
 2015 175    73   0.268    0.07     973    0.04

