*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2015 103     1     0      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 28.006 25.028  0.0000  0.0000  0.0000
 2015 104     2     1      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 26.508 24.337  0.0000  0.0000  0.0000
 2015 105     3     2      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 27.754 24.883  0.0000  0.0000  0.0000
 2015 106     4     3      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 26.369 23.534  0.0000  0.0000  0.0000
 2015 107     5     4     37  0.0000  0.0045  0.0030  0.0008  0.0000 0.00000  3.900  7.792 27.753 24.500  0.0000  0.0000  0.0000
 2015 108     6     5     40  0.5598  0.0042  0.3382  0.0969  0.0586 0.00000  3.836  7.614 28.002 24.260  0.0000  0.0000  0.0000
 2015 109     7     6     43  0.6839  0.0044  0.4109  0.1218  0.0689 0.00000  3.782  7.457 28.034 24.364  0.0000  0.0000  0.0000
 2015 110     8     7     48  0.7432  0.0046  0.5553  0.1119  0.0725 0.00000  3.788  7.338 27.613 23.909  0.0000  0.0000  0.0000
 2015 111     9     8     54  1.0500  0.0052  0.7570  0.1551  0.1031 0.00000  3.790  7.290 28.406 25.088  0.0000  0.0000  0.0000
 2015 112    10     9     61  1.2356  0.0057  0.6993  0.2292  0.1080 0.00000  3.717  7.281 26.792 23.650  0.0000  0.0000  0.0000
 2015 113    11    10     69  1.3606  0.0065  0.8979  0.2545  0.1283 0.00000  3.739  7.199 28.028 24.573  0.0000  0.0000  0.0000
 2015 114    12    11     78  1.6769  0.0071  1.0924  0.3058  0.1490 0.00000  3.757  7.146 27.781 24.049  0.0000  0.0000  0.0000
 2015 115    13    12     91  2.1882  0.0084  1.4380  0.3771  0.1997 0.00000  3.776  7.119 28.404 24.916  0.0000  0.0000  0.0000
 2015 116    14    13    106  2.4960  0.0093  1.6385  0.4896  0.2083 0.00000  3.787  7.100 27.229 23.603  0.0000  0.0000  0.0000
 2015 117    15    14    124  3.1258  0.0104  1.9713  0.5930  0.2387 0.00000  3.771  7.050 26.435 22.637  0.0000  0.0000  0.0000
