*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 103     1     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 104     2     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 105     3     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 106     4     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 107     5     4     0.6     0.0     0.6    0.00    3.41      0.2     0.0     0.5     0.1    3.84    2.40     0.0    1.6    0.0    0.00    0.02
 2015 108     6     5     0.7     0.0     0.7    0.00    3.45      0.2     0.1     0.6     0.1    3.84    2.41     0.0    1.6    0.0    0.00    0.03
 2015 109     7     6     0.9     0.0     0.9    0.00    3.48      0.2     0.2     0.7     0.2    3.85    2.41     0.0    1.6    0.0    0.00    0.04
 2015 110     8     7     1.0     0.0     1.0    0.00    3.46      0.2     0.3     0.8     0.2    3.81    2.38     0.0    1.6    0.0    0.00    0.05
 2015 111     9     8     1.1     0.0     1.1    0.00    3.41      0.2     0.4     0.9     0.2    3.76    2.35     0.0    1.6    0.0    0.01    0.07
 2015 112    10     9     1.3     0.0     1.3    0.00    3.44      0.2     0.7     1.1     0.3    3.82    2.42     0.0    1.6    0.0    0.01    0.08
 2015 113    11    10     1.6     0.0     1.6    0.00    3.43      0.4     0.8     1.3     0.3    3.80    2.39     0.0    1.6    0.1    0.01    0.08
 2015 114    12    11     1.9     0.0     1.9    0.00    3.43      0.5     0.9     1.5     0.3    3.78    2.37     0.0    1.6    0.1    0.01    0.09
 2015 115    13    12     2.2     0.0     2.2    0.00    3.39      0.5     1.3     1.9     0.4    3.72    2.33     0.0    1.5    0.0    0.02    0.11
 2015 116    14    13     2.7     0.0     2.7    0.00    3.35      0.7     1.5     2.2     0.4    3.67    2.30     0.0    1.5    0.2    0.03    0.11
 2015 117    15    14     3.1     0.0     3.1    0.00    3.38      0.9     1.8     2.6     0.5    3.71    2.32     0.0    1.6    0.2    0.03    0.12
 2015 118    16    15     3.4     0.0     3.4    0.00    3.16      1.2     1.9     2.9     0.5    3.46    2.17     0.0    1.5    0.3    0.04    0.13
 2015 119    17    16     4.1     0.0     4.1    0.00    3.22      1.4     2.4     3.4     0.6    3.52    2.21     0.0    1.5    0.2    0.05    0.14
 2015 120    18    17     4.1     0.0     4.1    0.00    3.22      1.4     2.4     3.4     0.6    3.53    2.21     0.0    1.5    0.0    0.05    0.16
 2015 121    19    18     4.8     0.0     4.8    0.00    3.24      1.5     3.2     4.1     0.8    3.55    2.22     0.0    1.5    0.1    0.06    0.17
 2015 122    20    19     5.9     0.0     5.9    0.00    3.44      1.5     4.4     5.0     0.9    3.76    2.37     0.0    1.6    0.0    0.06    0.19
 2015 123    21    20     6.7     0.0     6.7    0.00    3.48      1.5     5.7     5.6     1.1    3.81    2.41     0.0    1.7    0.0    0.06    0.21
 2015 124    22    21     7.6     0.0     7.6    0.00    3.45      1.8     6.3     6.4     1.2    3.77    2.38     0.0    1.6    0.3    0.07    0.22
 2015 125    23    22     8.4     0.0     8.4    0.00    3.23      2.1     6.9     7.1     1.4    3.54    2.23     0.0    1.6    0.3    0.09    0.24
 2015 126    24    23     9.0     0.0     9.0    0.00    3.06      2.5     7.2     7.6     1.4    3.35    2.11     0.0    1.5    0.4    0.11    0.26
 2015 127    25    24    10.2     0.0    10.2    0.00    2.91      3.0     8.1     8.4     1.7    3.22    1.99     0.0    1.5    0.4    0.14    0.28
 2015 128    26    25    11.9     0.0    11.9    0.00    2.94      3.2     9.8     9.7     2.2    3.27    2.05     0.0    1.5    0.2    0.16    0.30
 2015 129    27    26    14.4     0.0    14.4    0.00    3.09      3.2    12.4    11.5     2.9    3.43    2.21     0.0    1.5    0.0    0.16    0.33
 2015 130    28    27    16.4     0.0    16.4    0.00    3.27      3.2    15.2    13.0     3.4    3.62    2.39     0.0    1.9    0.0    0.16    0.37
 2015 131    29    28    17.1     0.0    17.1    0.00    3.26      3.8    15.6    13.5     3.6    3.64    2.36     0.0    1.9    0.5    0.35    0.41
 2015 132    30    29    18.7     0.0    18.7    0.00    3.25      4.3    16.9    14.6     4.1    3.65    2.34     0.0    1.8    0.5    0.45    0.44
 2015 133    31    30    20.6     0.0    20.6    0.00    3.25      4.4    19.0    15.8     4.8    3.68    2.33     0.0    1.8    0.1    0.59    0.48
 2015 134    32    31    21.0     0.0    21.0    0.00    3.08      5.2    19.6    15.9     5.1    3.57    2.16     0.0    1.7    0.6    1.17    0.52
