*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2015 103     1     0      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 28.006 25.028  0.0000  0.0000  0.0000
 2015 104     2     1      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 26.508 24.337  0.0000  0.0000  0.0000
 2015 105     3     2      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 27.754 24.883  0.0000  0.0000  0.0000
 2015 106     4     3      0  0.0000  0.0000  0.0000  0.0000  0.0000 0.00000  0.000  0.000 26.369 23.534  0.0000  0.0000  0.0000
 2015 107     5     4     37  0.0000  0.0045  0.0030  0.0008  0.0000 0.00000  3.900  7.792 27.753 24.500  0.0000  0.0000  0.0000
 2015 108     6     5     39  0.5327  0.0042  0.3193  0.0924  0.0568 0.00000  3.833  7.613 28.002 24.260  0.0000  0.0000  0.0000
 2015 109     7     6     43  0.6431  0.0044  0.3865  0.1142  0.0661 0.00000  3.778  7.454 28.034 24.364  0.0000  0.0000  0.0000
 2015 110     8     7     47  0.6959  0.0045  0.5174  0.1065  0.0692 0.00000  3.786  7.328 27.613 23.909  0.0000  0.0000  0.0000
 2015 111     9     8     53  0.9777  0.0052  0.7011  0.1463  0.0975 0.00000  3.789  7.271 28.406 25.088  0.0000  0.0000  0.0000
 2015 112    10     9     59  1.1463  0.0055  0.6546  0.2117  0.1016 0.00000  3.719  7.255 26.792 23.650  0.0000  0.0000  0.0000
 2015 113    11    10     66  1.2687  0.0063  0.8427  0.2347  0.1210 0.00000  3.738  7.175 28.028 24.573  0.0000  0.0000  0.0000
 2015 114    12    11     75  1.5426  0.0069  1.0111  0.2775  0.1389 0.00000  3.755  7.122 27.781 24.049  0.0000  0.0000  0.0000
 2015 115    13    12     87  1.9841  0.0081  1.2736  0.3471  0.1836 0.00000  3.764  7.090 28.404 24.916  0.0000  0.0000  0.0000
 2015 116    14    13     99  2.2343  0.0088  1.4227  0.4475  0.1892 0.00000  3.775  7.070 27.229 23.603  0.0000  0.0000  0.0000
 2015 117    15    14    115  2.7454  0.0097  1.7325  0.5157  0.2128 0.00000  3.759  7.016 26.435 22.637  0.0000  0.0000  0.0000
