*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 103     1     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 104     2     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 105     3     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 106     4     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 107     5     4     0.6     0.0     0.6    0.00    3.41      0.2     0.0     0.5     0.1    3.84    2.40     0.0    1.6    0.0    0.00    0.02
 2015 108     6     5     0.7     0.0     0.7    0.00    3.45      0.2     0.1     0.6     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.03
 2015 109     7     6     0.8     0.0     0.8    0.00    3.48      0.2     0.2     0.7     0.2    3.85    2.41     0.0    1.6    0.0    0.00    0.04
 2015 110     8     7     1.0     0.0     1.0    0.00    3.47      0.2     0.3     0.8     0.2    3.81    2.39     0.0    1.6    0.0    0.00    0.05
 2015 111     9     8     1.1     0.0     1.1    0.00    3.43      0.2     0.4     0.9     0.2    3.78    2.36     0.0    1.6    0.0    0.01    0.07
 2015 112    10     9     1.3     0.0     1.3    0.00    3.46      0.2     0.6     1.1     0.2    3.83    2.42     0.0    1.6    0.0    0.01    0.08
 2015 113    11    10     1.5     0.0     1.5    0.00    3.45      0.4     0.7     1.3     0.3    3.80    2.39     0.0    1.6    0.1    0.01    0.09
 2015 114    12    11     1.8     0.0     1.8    0.00    3.44      0.4     0.9     1.5     0.3    3.78    2.37     0.0    1.6    0.1    0.01    0.09
 2015 115    13    12     2.2     0.0     2.2    0.00    3.44      0.4     1.2     1.8     0.4    3.78    2.36     0.0    1.5    0.0    0.02    0.11
 2015 116    14    13     2.6     0.0     2.6    0.00    3.43      0.7     1.4     2.1     0.4    3.76    2.35     0.0    1.5    0.2    0.02    0.11
 2015 117    15    14     2.9     0.0     2.9    0.00    3.45      0.8     1.7     2.5     0.5    3.79    2.36     0.0    1.6    0.2    0.03    0.12
 2015 118    16    15     3.2     0.0     3.2    0.00    3.24      1.1     1.8     2.7     0.5    3.55    2.22     0.0    1.5    0.2    0.04    0.13
 2015 119    17    16     3.8     0.0     3.8    0.00    3.29      1.2     2.3     3.2     0.6    3.60    2.25     0.0    1.5    0.1    0.05    0.14
 2015 120    18    17     3.8     0.0     3.8    0.00    3.29      1.2     2.3     3.2     0.6    3.60    2.25     0.0    1.5    0.0    0.05    0.15
 2015 121    19    18     4.4     0.0     4.4    0.00    3.29      1.2     3.0     3.7     0.7    3.60    2.25     0.0    1.5    0.0    0.05    0.17
 2015 122    20    19     5.3     0.0     5.3    0.00    3.46      1.2     4.1     4.5     0.8    3.78    2.37     0.0    1.6    0.0    0.05    0.19
 2015 123    21    20     5.9     0.0     5.9    0.00    3.49      1.2     5.1     4.9     0.9    3.82    2.40     0.0    1.6    0.0    0.05    0.21
 2015 124    22    21     6.6     0.0     6.6    0.00    3.46      1.4     5.7     5.6     1.0    3.78    2.37     0.0    1.6    0.2    0.07    0.22
 2015 125    23    22     7.4     0.0     7.4    0.00    3.26      1.7     6.2     6.2     1.2    3.57    2.24     0.0    1.6    0.2    0.09    0.24
 2015 126    24    23     7.9     0.0     7.9    0.00    3.09      2.0     6.5     6.6     1.2    3.38    2.12     0.0    1.5    0.3    0.10    0.25
 2015 127    25    24     8.8     0.0     8.8    0.00    2.95      2.4     7.2     7.3     1.5    3.26    2.01     0.0    1.5    0.3    0.19    0.27
 2015 128    26    25    10.3     0.0    10.3    0.00    2.98      2.5     8.7     8.4     1.9    3.30    2.07     0.0    1.5    0.1    0.21    0.29
 2015 129    27    26    12.4     0.0    12.4    0.00    3.15      2.5    11.0    10.0     2.4    3.49    2.25     0.0    1.5    0.0    0.21    0.31
 2015 130    28    27    13.9     0.0    13.9    0.00    3.31      2.5    13.6    11.1     2.8    3.66    2.41     0.0    1.9    0.0    0.21    0.35
 2015 131    29    28    14.5     0.0    14.5    0.00    3.27      3.0    13.9    11.5     3.0    3.63    2.36     0.0    1.9    0.4    0.32    0.38
 2015 132    30    29    15.9     0.0    15.9    0.00    3.26      3.5    15.0    12.5     3.4    3.65    2.35     0.0    1.8    0.4    0.41    0.41
 2015 133    31    30    17.5     0.0    17.5    0.00    3.27      3.6    16.8    13.7     3.9    3.67    2.35     0.0    1.8    0.1    0.53    0.44
 2015 134    32    31    17.8     0.0    17.8    0.00    3.09      4.2    17.3    13.7     4.0    3.51    2.21     0.0    1.7    0.5    1.11    0.47
