*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 102     0   0.000    0.00       0    0.00
 2015 103     1   0.000    0.00       0    0.00
 2015 104     2   0.000    0.00       0    0.00
 2015 105     3   0.000    0.00       0    0.00
 2015 106     4   0.000    0.00       0    0.00
 2015 107     5   0.000    0.00       0    0.00
 2015 108     6   0.000    0.00       0    0.00
 2015 109     7   0.000    0.00       0    0.00
 2015 110     8   0.000    0.00       0    0.00
 2015 111     9   0.000    0.00       0    0.00
 2015 112    10   0.000    0.00       0    0.00
 2015 113    11   0.000    0.00       0    0.00
 2015 114    12   0.000    0.00       1    0.00
 2015 115    13   0.000    0.00       1    0.00
 2015 116    14   0.001    0.00       2    0.00
 2015 117    15   0.001    0.00       2    0.00
 2015 118    16   0.001    0.00       3    0.00
 2015 119    17   0.001    0.00       4    0.00
 2015 120    18   0.001    0.00       5    0.00
 2015 121    19   0.001    0.00       5    0.00
 2015 122    20   0.002    0.00       5    0.00
 2015 123    21   0.002    0.00       5    0.00
 2015 124    22   0.002    0.00       5    0.00
 2015 125    23   0.002    0.00       7    0.00
 2015 126    24   0.003    0.00       8    0.00
 2015 127    25   0.003    0.00      10    0.00
 2015 128    26   0.004    0.00      14    0.00
 2015 129    27   0.005    0.00      16    0.00
 2015 130    28   0.005    0.00      16    0.00
 2015 131    29   0.005    0.00      16    0.01
 2015 132    30   0.009    0.00      27    0.01
 2015 133    31   0.011    0.00      36    0.01
 2015 134    32   0.015    0.00      47    0.01
 2015 135    33   0.023    0.00      73    0.01
 2015 136    34   0.024    0.00      77    0.02
 2015 137    35   0.029    0.00      90    0.02
 2015 138    36   0.034    0.00     107    0.02
 2015 139    37   0.042    0.00     135    0.04
 2015 140    38   0.055    0.00     176    0.05
 2015 141    39   0.057    0.00     182    0.06
 2015 142    40   0.061    0.00     196    0.05
 2015 143    41   0.068    0.00     220    0.05
 2015 144    42   0.072    0.00     232    0.06
 2015 145    43   0.076    0.00     247    0.05
 2015 146    44   0.082    0.01     268    0.05
 2015 147    45   0.091    0.01     299    0.05
 2015 148    46   0.093    0.01     304    0.06
 2015 149    47   0.098    0.01     321    0.05
 2015 150    48   0.103    0.01     339    0.05
 2015 151    49   0.107    0.01     355    0.05
 2015 152    50   0.112    0.01     371    0.05
 2015 153    51   0.117    0.01     389    0.05
 2015 154    52   0.120    0.01     401    0.05
 2015 155    53   0.124    0.01     412    0.04
 2015 156    54   0.130    0.01     434    0.04
 2015 157    55   0.143    0.02     482    0.04
 2015 158    56   0.148    0.02     500    0.04
 2015 159    57   0.152    0.02     516    0.04
 2015 160    58   0.157    0.02     534    0.04
 2015 161    59   0.164    0.02     561    0.04
 2015 162    60   0.168    0.02     576    0.04
 2015 163    61   0.176    0.03     605    0.04
 2015 164    62   0.182    0.03     629    0.04
 2015 165    63   0.189    0.03     656    0.03
 2015 166    64   0.198    0.03     688    0.03
 2015 167    65   0.206    0.04     720    0.03
 2015 168    66   0.210    0.04     738    0.03
 2015 169    67   0.214    0.04     754    0.03
 2015 170    68   0.219    0.04     773    0.03
 2015 171    69   0.223    0.04     790    0.03
 2015 172    70   0.226    0.05     802    0.03
 2015 173    71   0.229    0.05     814    0.02
 2015 174    72   0.232    0.05     825    0.02
 2015 175    73   0.235    0.05     836    0.02
 2015 176    74   0.237    0.05     846    0.02
